,0
1178,Richard Benjamin
1179,James Brolin
1180,Norman Bartold
1181,Roddy McDowall
1182,Kim Hunter
1183,Maurice Evans
1184,James Franciscus
1185,Linda Harrison
1186,Lisa Kudrow
1187,Ryan Phillippe
1188,Selma Blair
1189,Jason Flemyng
1190,Dexter Fletcher
1191,Nick Moran
1192,Jason Statham
1193,Gloria Foster
1194,Heath Ledger
1195,Julia Stiles
1196,Larisa Oleynik
1197,Jeremy Theobald
1198,Alex Haw
1199,Lucy Russell
1200,John Nolan
1201,Jennifer Jason Leigh
1202,Maury Chaykin
1203,Brendan Fraser
1204,Rachel Weisz
1205,Arnold Vosloo
1206,Jake Lloyd
1207,Christopher Reeve
1208,Margot Kidder
1209,Ned Beatty
1210,Jackie Cooper
1211,Barry Bostwick
1212,Patricia Quinn
1213,Gina McKee
1214,Tim McInnerny
1215,Dennis Haysbert
1216,Steven Schub
1217,Heather Graham
1218,Robert Wagner
1219,Brian Blessed
1220,Pruitt Taylor Vince
1221,Bill Nunn
1222,Gabriele Lavia
1223,Franka Potente
1224,Moritz Bleibtreu
1225,Herbert Knaup
1226,Nina Petri
1227,Kristy Swanson
1228,Cole Sprouse
1229,Thierry Lhermitte
1230,Jacques Villeret
1231,Francis Huster
1232,Alexandra Vandernoot
1233,Harley Jane Kozak
1234,Garette Ratliff Henson
1235,Marlene Katz
1236,Trey Parker
1237,Matt Stone
1238,Mary Kay Bergman
1239,Isaac Hayes
1240,Jason Biggs
1241,Chris Klein
1242,Thomas Ian Nicholas
1243,Alyson Hannigan
1244,Heather Donahue
1245,Joshua Leonard
1246,Bob Griffith
1247,Jim King
1248,Madison Eginton
1249,Jackie Sawiris
1250,Harold Ramis
1251,Jean Simmons
1252,Charles Laughton
1253,Sue Lyon
1254,Shelley Winters
1255,Marisa Berenson
1256,Frank Middlemass
1257,Godfrey Quigley
1258,Leonard Rossiter
1259,Claire Maurier
1260,Georges Flamant
1261,Patrick Auffay
1262,Robert Beauvais
1263,Margaret Avery
1264,Akosua Busia
1265,Ellen Greene
1266,Vincent Gardenia
1267,Steve Martin
1268,Eli Marienthal
1269,Toni Collette
1270,Haley Joel Osment
1271,Ben Gazzara
1272,Robert Hays
1273,Julie Hagerty
1274,Peter Graves
1275,Imogene Coca
1276,Elizabeth Perkins
1277,Robert Loggia
1278,Sam Shepard
1279,Melinda Dillon
1280,Peter Billingsley
1281,Jean Shepherd
1282,Vladimir Kulich
1283,Daniel Southern
1284,Clive Russell
1285,Kathryn Erbe
1286,Illeana Douglas
1287,Kevin Dunn
1288,Thora Birch
1289,Wes Bentley
1290,Luke Wilson
1291,Peter Greene
1292,Ronny Cox
1293,Spike Jonze
1294,Hilary Swank
1295,Peter Sarsgaard
1296,Brendan Sexton III
1297,Alicia Goranson
1298,Rebecca De Mornay
1299,Rachel Ticotin
1300,Alan Ruck
1301,Mia Sara
1302,Michael Nouri
1303,Lilia Skala
1304,Sunny Johnson
1305,Lee Marvin
1306,Jim Brown
1307,Honor Blackman
1308,Shirley Eaton
